Age Group,Gender,Occupation,Monthly Income,City Tier,Alcohol Consumption Frequency,Preferred Alcohol Types,Likelihood to Try New Cocktail,Purchase Channel,Preferred Consumption Setting,Interested Cocktail Flavours,Preferred Packaging,Preferred Pack Size,Interest in Mixed Flavour Packs,Ranking of Purchase Factors,Importance of Sustainability,Prefers Social Media Brands,Willingness to Pay (per unit),Likelihood to Recommend,Challenges in Choosing Cocktails,Buys on Bundle Deal,Willing to Switch Brand,Likelihood to Buy for Group Events,Would Join Loyalty Program,Preferred Channel (for purchase)
25-34,Female,Working Professional,"20,000–50,000",Tier 1,Never,Whiskey,Likely,Restaurant,Social gatherings,Coffee,No preference,Pack of 12,Not interested,"Brand,Flavour variety,Price,Social cause,Packaging",Highly,Yes,>₹300,Likely,"Lack of availability,Not enough information/branding,High price",Yes,Maybe,Always,No,Bar
25-34,Female,Student,"<20,000",Metro,Never,"Vodka,Cocktails",Neutral,Retail shop,Social gatherings,"Guava,Classic",No preference,Pack of 2,Interested,"Price,Brand,Flavour variety,Packaging,Social cause",Not at all,Doesn’t matter,₹100–₹200,Neutral,Poor packaging,Yes,Yes,Often,No,Bar
18-24,Female,Student,"<20,000",Metro,Rarely,Beer,Neutral,Retail shop,At home,"Coffee,Litchi",Can,Pack of 2,Neutral,"Flavour variety,Brand,Price,Packaging,Social cause",Moderately,No,₹100–₹200,Likely,"Limited flavour options,High price,Not enough information/branding",Maybe,Yes,Occasionally,Yes,Online
45-54,Female,Working Professional,"50,000–1,00,000",Tier 1,Rarely,Rum,Likely,Retail shop,Social gatherings,"Guava,Mint",Glass bottle,Pack of 12,Very interested,"Flavour variety,Brand,Price,Packaging,Social cause",Moderately,Yes,₹100–₹200,Likely,Limited flavour options,Maybe,Maybe,Often,No,Retail shop
35-44,Female,Working Professional,"20,000–50,000",Tier 1,Rarely,Rum,Neutral,Pub,At home,Lime,No preference,Pack of 6,Very interested,"Brand,Price,Flavour variety,Social cause,Packaging",Moderately,Yes,₹200–₹300,Neutral,"Poor packaging,Not enough information/branding,High price",Maybe,Maybe,Occasionally,Yes,Retail shop
18-24,Female,Working Professional,"<20,000",Tier 2,Occasionally,"Other,Gin,Whiskey",Very likely,Restaurant,Restaurants,"Litchi,Mango",Can,Pack of 6,Neutral,"Price,Flavour variety,Brand,Social cause,Packaging",Not at all,Yes,>₹300,Neutral,"Lack of availability,Health concerns,Limited flavour options",Yes,Yes,Occasionally,No,Retail shop
18-24,Non-binary/Other,Working Professional,"20,000–50,000",Tier 1,Frequently,"Cocktails,Whiskey,Rum",Likely,Retail shop,Social gatherings,Berry,Can,Pack of 2,Not interested,"Flavour variety,Price,Brand,Packaging,Social cause",Extremely,Doesn’t matter,<₹100,Neutral,"Not enough information/branding,Limited flavour options",Yes,Yes,Occasionally,Yes,Bar
55+,Female,Student,"20,000–50,000",Metro,Occasionally,Rum,Likely,Restaurant,Outdoors,Pineapple,Glass bottle,Pack of 6,Not interested,"Brand,Flavour variety,Price,Social cause,Packaging",Highly,Yes,>₹300,Very likely,Limited flavour options,No,No,Always,Yes,Retail shop
25-34,Male,Working Professional,"50,000–1,00,000",Tier 1,Occasionally,"Rum,Beer",Neutral,Retail shop,Restaurants,Orange,Glass bottle,Pack of 24,Interested,"Brand,Flavour variety,Price,Social cause,Packaging",Moderately,No,₹200–₹300,Likely,"Lack of availability,Poor packaging,Health concerns",Maybe,Yes,Occasionally,Yes,Bar
35-44,Male,Working Professional,"20,000–50,000",Tier 3/Rural,Frequently,"Vodka,Beer,Whiskey",Very unlikely,Retail shop,Social gatherings,"Orange,Litchi",Can,Pack of 2,Not interested,"Price,Brand,Flavour variety,Packaging,Social cause",Highly,Doesn’t matter,₹100–₹200,Very unlikely,"Limited flavour options,Poor packaging,Health concerns",Yes,Yes,Occasionally,Yes,Retail shop
45-54,Female,Student,"20,000–50,000",Metro,Occasionally,Rum,Likely,Retail shop,Social gatherings,Mango,Can,Pack of 6,Slightly interested,"Flavour variety,Price,Brand,Social cause,Packaging",Highly,Yes,₹100–₹200,Neutral,"Limited flavour options,Not enough information/branding",Maybe,No,Occasionally,Yes,Retail shop
25-34,Male,Homemaker,"20,000–50,000",Tier 2,Rarely,"Whiskey,Vodka,Cocktails",Likely,Restaurant,Social gatherings,Lime,Can,Pack of 24,Slightly interested,"Brand,Price,Flavour variety,Packaging,Social cause",Not at all,Doesn’t matter,₹200–₹300,Unlikely,"Limited flavour options,Health concerns,High price",Maybe,Yes,Often,Yes,Retail shop
35-44,Female,Working Professional,"50,000–1,00,000",Metro,Occasionally,"Vodka,Beer,Cocktails",Likely,Restaurant,At home,Berry,Can,Pack of 24,Slightly interested,"Flavour variety,Price,Brand,Packaging,Social cause",Moderately,Yes,₹100–₹200,Very likely,Poor packaging,No,Maybe,Occasionally,No,Retail shop
18-24,Male,Student,"50,000–1,00,000",Metro,Occasionally,"Whiskey,Beer",Likely,Retail shop,At home,Berry,Glass bottle,Pack of 2,Interested,"Price,Flavour variety,Brand,Social cause,Packaging",Highly,Doesn’t matter,>₹300,Very likely,"Poor packaging,Health concerns",Maybe,Maybe,Never,No,Retail shop
45-54,Female,Working Professional,"50,000–1,00,000",Tier 3/Rural,Rarely,"Beer,Gin,Vodka",Neutral,Retail shop,At home,"Lime,Berry,Classic",Glass bottle,Pack of 6,Slightly interested,"Brand,Flavour variety,Price,Social cause,Packaging",Highly,Doesn’t matter,>₹300,Very likely,"Lack of availability,Other",Yes,Yes,Occasionally,Yes,Retail shop
25-34,Male,Working Professional,"20,000–50,000",Tier 2,Occasionally,"Whiskey,Beer",Unlikely,Restaurant,At home,"Guava,Litchi,Lime",Glass bottle,Pack of 6,Interested,"Price,Flavour variety,Brand,Packaging,Social cause",Moderately,Yes,₹100–₹200,Neutral,Limited flavour options,Yes,Yes,Often,Yes,Retail shop
18-24,Male,Working Professional,"50,000–1,00,000",Tier 2,Occasionally,Vodka,Neutral,Online,Outdoors,"Berry,Guava,Mint",No preference,Pack of 12,Very interested,"Price,Flavour variety,Brand,Social cause,Packaging",Slightly,Yes,<₹100,Unlikely,"High price,Poor packaging",No,No,Occasionally,No,Bar
18-24,Female,Entrepreneur,"<20,000",Tier 1,Never,"Beer,Gin",Neutral,Restaurant,At home,"Guava,Lime,Classic",Can,Pack of 6,Interested,"Brand,Flavour variety,Price,Packaging,Social cause",Moderately,Doesn’t matter,₹200–₹300,Likely,High price,Yes,Yes,Occasionally,No,Restaurant
25-34,Female,Working Professional,"50,000–1,00,000",Tier 3/Rural,Frequently,"Whiskey,Cocktails",Likely,Online,Bars/Pubs,Pineapple,No preference,Pack of 12,Interested,"Brand,Price,Flavour variety,Social cause,Packaging",Highly,Doesn’t matter,₹100–₹200,Unlikely,"Not enough information/branding,High price",No,Yes,Often,No,Restaurant
45-54,Male,Homemaker,"20,000–50,000",Tier 2,Frequently,"Beer,Cocktails,Rum",Likely,Pub,Social gatherings,"Lime,Mango",No preference,Pack of 2,Interested,"Brand,Price,Flavour variety,Packaging,Social cause",Highly,Doesn’t matter,₹100–₹200,Unlikely,"Lack of availability,Health concerns,High price",No,Yes,Always,Yes,Bar
45-54,Female,Working Professional,"<20,000",Metro,Frequently,"Vodka,Whiskey",Likely,Pub,Restaurants,"Berry,Pineapple,Coffee",Glass bottle,Pack of 2,Slightly interested,"Flavour variety,Price,Brand,Social cause,Packaging",Slightly,Doesn’t matter,₹200–₹300,Very likely,"High price,Health concerns,Limited flavour options",Yes,Maybe,Often,Yes,Retail shop
55+,Male,Working Professional,"50,000–1,00,000",Tier 2,Occasionally,"Beer,Gin",Very likely,Retail shop,Outdoors,Pineapple,Glass bottle,Pack of 6,Very interested,"Flavour variety,Brand,Price,Packaging,Social cause",Moderately,No,₹100–₹200,Very likely,"Health concerns,Limited flavour options,High price",No,Yes,Occasionally,No,Bar
35-44,Male,Homemaker,">1,00,000",Metro,Rarely,Whiskey,Very likely,Online,At home,"Pineapple,Lime,Litchi",Can,Pack of 6,Slightly interested,"Flavour variety,Price,Brand,Social cause,Packaging",Not at all,Yes,₹100–₹200,Likely,"Poor packaging,Limited flavour options",Maybe,Yes,Occasionally,No,Retail shop
18-24,Female,Entrepreneur,"20,000–50,000",Tier 3/Rural,Rarely,"Beer,Gin",Very unlikely,Bar,Social gatherings,"Mango,Pineapple,Berry",Glass bottle,Pack of 12,Slightly interested,"Flavour variety,Price,Brand,Packaging,Social cause",Highly,Yes,₹100–₹200,Neutral,"Limited flavour options,Other",Yes,Yes,Occasionally,Yes,Retail shop
18-24,Male,Working Professional,"<20,000",Tier 1,Occasionally,"Beer,Cocktails",Neutral,Retail shop,Social gatherings,"Litchi,Pineapple,Lime",Can,Pack of 6,Interested,"Flavour variety,Brand,Price,Packaging,Social cause",Slightly,No,₹200–₹300,Very likely,"Limited flavour options,Lack of availability,Poor packaging",Maybe,Maybe,Occasionally,Yes,Retail shop
25-34,Female,Entrepreneur,">1,00,000",Metro,Never,Other,Likely,Duty-free,At home,Mint,Glass bottle,Pack of 6,Interested,"Price,Flavour variety,Brand,Packaging,Social cause",Moderately,Doesn’t matter,₹200–₹300,Likely,"Poor packaging,High price,Limited flavour options",No,No,Occasionally,Yes,Retail shop
45-54,Female,Working Professional,"20,000–50,000",Tier 2,Occasionally,Cocktails,Neutral,Online,Outdoors,"Mango,Orange",Glass bottle,Pack of 12,Not interested,"Flavour variety,Price,Brand,Social cause,Packaging",Extremely,Yes,₹100–₹200,Neutral,"Lack of availability,Poor packaging",Yes,Yes,Occasionally,No,Restaurant
18-24,Male,Other,"50,000–1,00,000",Metro,Never,"Vodka,Whiskey",Unlikely,Retail shop,At home,"Orange,Guava,Litchi",Glass bottle,Pack of 6,Not interested,"Price,Brand,Flavour variety,Social cause,Packaging",Moderately,No,₹200–₹300,Very unlikely,"Not enough information/branding,Poor packaging",No,Maybe,Often,Yes,Online
25-34,Male,Working Professional,"50,000–1,00,000",Tier 2,Occasionally,"Rum,Beer",Neutral,Retail shop,Social gatherings,Mango,Can,Pack of 2,Interested,"Brand,Flavour variety,Price,Social cause,Packaging",Moderately,Yes,<₹100,Likely,"Lack of availability,Not enough information/branding,Limited flavour options",Maybe,Maybe,Often,Yes,Bar
45-54,Female,Working Professional,"50,000–1,00,000",Tier 2,Occasionally,"Beer,Whiskey,Vodka",Unlikely,Pub,At home,"Guava,Litchi",Can,Pack of 6,Interested,"Flavour variety,Price,Brand,Packaging,Social cause",Moderately,Yes,₹100–₹200,Likely,"Poor packaging,High price,Not enough information/branding",No,Maybe,Occasionally,Yes,Retail shop
18-24,Male,Working Professional,"20,000–50,000",Metro,Occasionally,Cocktails,Neutral,Online,Social gatherings,Pineapple,Glass bottle,Pack of 6,Not interested,"Flavour variety,Brand,Price,Packaging,Social cause",Moderately,Doesn’t matter,₹100–₹200,Likely,"Health concerns,Limited flavour options,Poor packaging",No,Yes,Always,No,Bar
25-34,Male,Working Professional,"20,000–50,000",Tier 1,Occasionally,"Beer,Whiskey",Very unlikely,Retail shop,Bars/Pubs,"Litchi,Mango,Mint",Can,Pack of 24,Neutral,"Price,Flavour variety,Brand,Packaging,Social cause",Slightly,Yes,<₹100,Very likely,High price,No,Yes,Occasionally,Yes,Restaurant
18-24,Male,Student,"20,000–50,000",Metro,Occasionally,"Beer,Whiskey",Neutral,Restaurant,At home,"Guava,Classic,Berry",No preference,Pack of 2,Not interested,"Flavour variety,Price,Brand,Social cause,Packaging",Moderately,Doesn’t matter,₹100–₹200,Very likely,High price,Maybe,No,Often,Yes,Retail shop
35-44,Prefer not to say,Working Professional,"20,000–50,000",Metro,Rarely,"Vodka,Beer,Whiskey",Very likely,Restaurant,Restaurants,"Orange,Litchi,Mango",Can,Pack of 6,Interested,"Flavour variety,Price,Brand,Social cause,Packaging",Extremely,Doesn’t matter,₹100–₹200,Neutral,"Lack of availability,Health concerns",No,Maybe,Occasionally,No,Retail shop
18-24,Female,Working Professional,"20,000–50,000",Tier 1,Never,Beer,Unlikely,Retail shop,At home,"Pineapple,Guava,Litchi",Glass bottle,Pack of 6,Slightly interested,"Brand,Price,Flavour variety,Packaging,Social cause",Not at all,Doesn’t matter,₹200–₹300,Very likely,"Health concerns,Lack of availability,High price",Yes,No,Often,Yes,Bar
35-44,Male,Working Professional,"20,000–50,000",Metro,Occasionally,"Whiskey,Vodka",Neutral,Bar,At home,"Classic,Guava,Mango",Glass bottle,Pack of 12,Neutral,"Price,Flavour variety,Brand,Social cause,Packaging",Extremely,Doesn’t matter,<₹100,Unlikely,Lack of availability,Yes,Yes,Occasionally,Yes,Online
18-24,Female,Homemaker,"20,000–50,000",Tier 2,Rarely,"Cocktails,Whiskey,Beer",Neutral,Pub,Social gatherings,"Mango,Orange",Glass bottle,Pack of 6,Neutral,"Price,Brand,Flavour variety,Social cause,Packaging",Moderately,Yes,₹100–₹200,Likely,"Lack of availability,High price",Yes,Yes,Never,No,Online
45-54,Male,Working Professional,"20,000–50,000",Tier 2,Occasionally,"Whiskey,Cocktails",Likely,Other,Social gatherings,"Pineapple,Berry,Litchi",Glass bottle,Pack of 12,Interested,"Brand,Flavour variety,Price,Social cause,Packaging",Moderately,Yes,₹100–₹200,Likely,"Health concerns,Limited flavour options",No,Yes,Occasionally,Yes,Retail shop
18-24,Male,Working Professional,"20,000–50,000",Tier 3/Rural,Occasionally,Cocktails,Neutral,Retail shop,Social gatherings,Berry,Glass bottle,Pack of 2,Very interested,"Flavour variety,Price,Brand,Packaging,Social cause",Highly,Doesn’t matter,₹200–₹300,Neutral,"Limited flavour options,High price,Lack of availability",Yes,Yes,Often,No,Retail shop
18-24,Female,Homemaker,"50,000–1,00,000",Metro,Rarely,"Beer,Cocktails,Other",Neutral,Online,At home,Mango,Can,Pack of 24,Interested,"Brand,Flavour variety,Price,Social cause,Packaging",Moderately,Doesn’t matter,<₹100,Neutral,Poor packaging,Yes,Yes,Occasionally,Yes,Online
25-34,Female,Working Professional,"20,000–50,000",Tier 3/Rural,Rarely,Beer,Likely,Retail shop,Bars/Pubs,Orange,Glass bottle,Pack of 12,Not interested,"Brand,Flavour variety,Price,Social cause,Packaging",Extremely,Doesn’t matter,₹100–₹200,Very likely,High price,Yes,Maybe,Often,Yes,Restaurant
18-24,Female,Working Professional,"20,000–50,000",Metro,Occasionally,Beer,Neutral,Bar,Social gatherings,Litchi,Can,Pack of 6,Slightly interested,"Flavour variety,Brand,Price,Social cause,Packaging",Highly,Yes,>₹300,Likely,"High price,Health concerns",Maybe,No,Always,Yes,Restaurant
25-34,Male,Homemaker,"<20,000",Tier 3/Rural,Rarely,Gin,Neutral,Retail shop,Restaurants,Berry,Glass bottle,Pack of 6,Slightly interested,"Brand,Price,Flavour variety,Social cause,Packaging",Not at all,Yes,₹100–₹200,Likely,High price,Yes,Yes,Always,No,Restaurant
18-24,Male,Working Professional,"50,000–1,00,000",Metro,Rarely,"Beer,Rum,Cocktails",Very likely,Bar,Social gatherings,"Berry,Mango,Lime",No preference,Pack of 2,Neutral,"Brand,Price,Flavour variety,Social cause,Packaging",Not at all,Doesn’t matter,₹200–₹300,Neutral,"Poor packaging,Not enough information/branding",Yes,Maybe,Occasionally,No,Retail shop
25-34,Female,Entrepreneur,"50,000–1,00,000",Metro,Occasionally,"Beer,Whiskey,Cocktails",Likely,Bar,Social gatherings,"Guava,Berry",Can,Pack of 12,Very interested,"Price,Flavour variety,Brand,Packaging,Social cause",Moderately,Doesn’t matter,₹100–₹200,Likely,"High price,Lack of availability,Not enough information/branding",Maybe,Maybe,Occasionally,No,Bar
18-24,Male,Working Professional,"50,000–1,00,000",Metro,Occasionally,"Beer,Vodka,Cocktails",Very unlikely,Online,At home,"Berry,Mango,Lime",No preference,Pack of 6,Very interested,"Flavour variety,Brand,Price,Packaging,Social cause",Not at all,Yes,₹200–₹300,Neutral,"High price,Limited flavour options,Not enough information/branding",Maybe,Yes,Occasionally,Yes,Restaurant
45-54,Male,Working Professional,">1,00,000",Tier 1,Occasionally,"Vodka,Other",Very likely,Online,Social gatherings,Coffee,Glass bottle,Pack of 6,Slightly interested,"Brand,Price,Flavour variety,Packaging,Social cause",Highly,Doesn’t matter,<₹100,Likely,"Poor packaging,High price",Maybe,Yes,Occasionally,No,Bar
18-24,Male,Working Professional,"20,000–50,000",Tier 3/Rural,Rarely,Cocktails,Unlikely,Retail shop,At home,"Coffee,Mango,Berry",Glass bottle,Pack of 12,Not interested,"Price,Brand,Flavour variety,Social cause,Packaging",Extremely,Yes,₹200–₹300,Likely,"Health concerns,Not enough information/branding,Lack of availability",No,Yes,Often,Yes,Bar
25-34,Male,Working Professional,"20,000–50,000",Tier 1,Occasionally,Beer,Likely,Bar,At home,Orange,Glass bottle,Pack of 12,Very interested,"Flavour variety,Brand,Price,Packaging,Social cause",Moderately,Doesn’t matter,>₹300,Neutral,Health concerns,Yes,Yes,Never,No,Retail shop
18-24,Male,Working Professional,"20,000–50,000",Tier 1,Occasionally,"Vodka,Rum,Whiskey",Very likely,Retail shop,Social gatherings,"Mango,Berry",Can,Pack of 12,Interested,"Price,Flavour variety,Brand,Packaging,Social cause",Moderately,Yes,₹100–₹200,Likely,Poor packaging,Yes,Yes,Always,Yes,Retail shop
35-44,Male,Working Professional,"20,000–50,000",Metro,Rarely,"Whiskey,Beer",Unlikely,Online,At home,"Pineapple,Berry,Lime",Glass bottle,Pack of 2,Slightly interested,"Brand,Flavour variety,Price,Social cause,Packaging",Highly,Yes,₹100–₹200,Very likely,High price,Yes,Yes,Occasionally,Yes,Retail shop
18-24,Male,Working Professional,"<20,000",Metro,Frequently,"Whiskey,Vodka",Likely,Online,Outdoors,"Guava,Litchi,Pineapple",No preference,Pack of 6,Interested,"Flavour variety,Brand,Price,Packaging,Social cause",Highly,Doesn’t matter,>₹300,Very unlikely,"Lack of availability,Health concerns,Not enough information/branding",Yes,Maybe,Occasionally,Yes,Retail shop
55+,Female,Homemaker,"20,000–50,000",Tier 1,Occasionally,"Beer,Vodka",Very likely,Online,At home,"Mango,Mint",Glass bottle,Pack of 24,Interested,"Brand,Flavour variety,Price,Packaging,Social cause",Highly,Yes,₹200–₹300,Very likely,"High price,Lack of availability,Poor packaging",Yes,Yes,Often,Yes,Online
18-24,Male,Working Professional,"20,000–50,000",Metro,Never,Other,Very unlikely,Retail shop,Outdoors,"Litchi,Mint,Orange",Can,Pack of 12,Neutral,"Brand,Flavour variety,Price,Packaging,Social cause",Highly,Yes,₹200–₹300,Likely,"Other,Lack of availability",No,No,Never,No,Other
25-34,Female,Entrepreneur,"50,000–1,00,000",Metro,Occasionally,"Beer,Other,Whiskey",Likely,Retail shop,At home,Berry,Glass bottle,Pack of 6,Not interested,"Brand,Flavour variety,Price,Social cause,Packaging",Moderately,Doesn’t matter,₹100–₹200,Unlikely,"Lack of availability,Not enough information/branding,Other",Yes,No,Occasionally,No,Retail shop
25-34,Male,Homemaker,"20,000–50,000",Tier 1,Frequently,Whiskey,Likely,Bar,Bars/Pubs,"Mango,Mint",No preference,Pack of 6,Very interested,"Flavour variety,Brand,Price,Social cause,Packaging",Extremely,Yes,₹200–₹300,Neutral,Lack of availability,Yes,Yes,Occasionally,Yes,Bar
35-44,Female,Working Professional,"20,000–50,000",Metro,Frequently,Whiskey,Very likely,Retail shop,Social gatherings,"Pineapple,Litchi,Berry",No preference,Pack of 12,Neutral,"Brand,Flavour variety,Price,Packaging,Social cause",Extremely,Yes,₹100–₹200,Neutral,Lack of availability,Yes,Maybe,Occasionally,Yes,Retail shop
45-54,Male,Working Professional,"50,000–1,00,000",Tier 2,Occasionally,Cocktails,Unlikely,Retail shop,At home,"Pineapple,Orange,Classic",Can,Pack of 24,Slightly interested,"Flavour variety,Price,Brand,Packaging,Social cause",Moderately,Doesn’t matter,>₹300,Very likely,Limited flavour options,Maybe,Yes,Occasionally,Yes,Restaurant
18-24,Male,Working Professional,"20,000–50,000",Tier 1,Occasionally,"Beer,Other,Whiskey",Likely,Retail shop,At home,"Mint,Classic",Can,Pack of 6,Not interested,"Brand,Price,Flavour variety,Social cause,Packaging",Slightly,Doesn’t matter,<₹100,Neutral,High price,Maybe,Yes,Often,Yes,Restaurant
